Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Evan Fournier,SG,26,ORL,81,81,31.5,5.8,13.2,1.9,5.6,.340,3.9,7.6,.509,1.7,2.1,.806,0.5,2.7,3.2,3.6,0.9,0.1,1.9,2.8,15.1
De'Aaron Fox,PG,21,SAC,81,81,31.4,6.2,13.6,1.1,2.9,.371,5.2,10.7,.482,3.7,5.1,.727,0.5,3.2,3.8,7.3,1.6,0.6,2.8,2.5,17.3
Melvin Frazier,SG,22,ORL,10,0,4.4,0.7,2.1,0.0,0.6,.000,0.7,1.5,.467,0.1,0.4,.250,0.3,0.2,0.5,0.1,0.1,0.0,0.1,0.6,1.5
Tim Frazier,PG,28,TOT,59,19,19.0,2.0,4.4,0.6,1.7,.366,1.3,2.7,.494,0.7,0.9,.759,0.7,2.2,2.8,4.2,0.5,0.1,1.3,1.9,5.3
Tim Frazier,PG,28,NOP,47,17,19.3,1.9,4.1,0.6,1.6,.351,1.3,2.5,.517,0.7,0.9,.780,0.7,2.2,2.9,4.4,0.5,0.1,1.3,2.0,5.0
Tim Frazier,PG,28,MIL,12,2,17.6,2.3,5.5,0.8,2.0,.417,1.5,3.5,.429,0.8,1.1,.692,0.8,1.8,2.6,3.5,0.4,0.1,1.3,1.6,6.3
Jimmer Fredette,SG,29,PHO,6,0,10.8,1.3,4.8,0.0,2.2,.000,1.3,2.7,.500,1.0,1.0,1.000,0.2,1.0,1.2,1.3,0.5,0.0,0.8,0.8,3.7
Enes Freedom,C,26,TOT,67,31,24.5,5.6,10.2,0.1,0.5,.294,5.4,9.7,.562,2.3,2.9,.787,3.8,6.0,9.8,1.7,0.5,0.4,1.8,2.5,13.7
Enes Freedom,C,26,NYK,44,23,25.6,5.7,10.6,0.2,0.5,.318,5.5,10.1,.547,2.4,2.9,.814,3.9,6.6,10.5,1.9,0.4,0.4,1.8,2.4,14.0
Enes Freedom,C,26,POR,23,8,22.3,5.4,9.3,0.1,0.5,.250,5.3,8.8,.596,2.2,3.0,.735,3.7,4.9,8.6,1.4,0.6,0.4,1.7,2.7,13.1
Channing Frye,C,35,CLE,36,6,9.5,1.2,3.3,0.9,2.2,.405,0.3,1.1,.289,0.3,0.4,.786,0.1,1.3,1.4,0.6,0.2,0.1,0.4,1.2,3.6
Markelle Fultz,SG,20,PHI,19,15,22.5,3.4,8.2,0.2,0.7,.286,3.2,7.4,.433,1.1,1.9,.568,1.4,2.3,3.7,3.1,0.9,0.3,1.3,2.7,8.2
Danilo Gallinari,SF,30,LAC,68,68,30.3,6.0,13.0,2.4,5.5,.433,3.6,7.5,.484,5.4,6.0,.904,0.8,5.3,6.1,2.6,0.7,0.3,1.5,1.9,19.8
Langston Galloway,SG,27,DET,80,4,21.8,2.9,7.3,1.7,4.8,.355,1.2,2.6,.449,1.0,1.2,.844,0.6,1.5,2.1,1.1,0.5,0.1,0.3,1.7,8.4
Billy Garrett,SG,24,NYK,4,0,15.8,2.8,6.8,0.0,2.0,.000,2.8,4.8,.579,1.0,1.0,1.000,0.0,0.8,0.8,1.8,0.3,0.3,0.5,0.8,6.5
Marc Gasol,C,34,TOT,79,72,30.8,4.9,11.0,1.3,3.5,.363,3.7,7.6,.487,2.4,3.2,.759,1.0,6.9,7.9,4.4,1.1,1.1,2.0,2.7,13.6
Marc Gasol,C,34,MEM,53,53,33.7,5.7,12.9,1.4,4.2,.344,4.3,8.7,.491,2.9,3.8,.756,1.1,7.5,8.6,4.7,1.1,1.2,2.2,2.8,15.7
Marc Gasol,C,34,TOR,26,19,24.9,3.3,7.2,0.9,2.0,.442,2.5,5.2,.474,1.5,2.0,.769,0.9,5.7,6.6,3.9,0.9,0.9,1.4,2.7,9.1
Pau Gasol,C,38,TOT,30,6,12.0,1.4,3.1,0.2,0.4,.462,1.2,2.7,.444,0.9,1.3,.700,0.7,3.8,4.6,1.7,0.2,0.5,0.5,1.0,3.9
Pau Gasol,C,38,SAS,27,6,12.2,1.5,3.3,0.2,0.4,.500,1.3,2.9,.462,1.0,1.4,.711,0.8,3.9,4.7,1.9,0.2,0.5,0.5,1.0,4.2
Pau Gasol,C,38,MIL,3,0,10.0,0.3,2.0,0.3,1.0,.333,0.0,1.0,.000,0.3,0.7,.500,0.0,3.3,3.3,0.7,0.0,0.3,0.7,0.3,1.3
Paul George,SF,28,OKC,77,77,36.9,9.2,21.0,3.8,9.8,.386,5.4,11.1,.484,5.9,7.0,.839,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28.0
Shai Gilgeous-Alexander,PG,20,LAC,82,73,26.5,4.2,8.7,0.6,1.7,.367,3.5,7.0,.503,1.9,2.4,.800,0.7,2.1,2.8,3.3,1.2,0.5,1.7,2.1,10.8
Rudy Gobert,C,26,UTA,81,80,31.8,5.9,8.8,0.0,0.0,0,5.9,8.8,.669,4.1,6.4,.636,3.8,9.0,12.9,2.0,0.8,2.3,1.6,2.9,15.9
Brandon Goodwin,PG,23,DEN,16,0,3.6,0.4,1.4,0.1,0.4,.333,0.3,1.1,.235,0.6,0.7,.818,0.1,0.1,0.2,0.9,0.0,0.0,0.2,0.4,1.4
Eric Gordon,SG,30,HOU,68,53,31.7,5.6,13.8,3.2,8.8,.360,2.5,5.0,.497,1.8,2.2,.783,0.3,1.9,2.2,1.9,0.6,0.4,1.3,2.1,16.2
